Dataset,K,Repetition,Seed,Model,TunedParameters,DataBudgetProtocol,Method,Epsilon,Alpha,Accuracy,Unfairness,OptimizerSuccess,OptimizerStatus,OptimizerMessage,OptimizerIterations,PostprocessRuntimeSeconds,Convergence,SolverResidual,ProjectionRho,ProjectionMaxIterRequested,ProjectionDivergence,ProjectionMethod,TransportCalibrationDPGap,TransportObjective,TransportMIPSolver,TransportQPSolver
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,FairProjection,,0.75,0.4509283819628647,0.22091636859138133,True,completed_without_exception,convergence_not_observable,,2.9706375329988077,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,Fair-transport,,0.0,0.44297082228116713,0.08669732583886902,True,completed_without_exception,optimal,,0.06223367499478627,optimal,,,,,,8.60269994129581e-10,0.567128421513057,CLARABEL,OSQP
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,Fair-transport,,0.1,0.4509283819628647,0.1926134105490263,True,completed_without_exception,optimal,,0.051514289996703155,optimal,,,,,,0.1000000009485269,0.5546958309451729,CLARABEL,OSQP
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,Fair-transport,,0.2,0.4482758620689655,0.23156191449497532,True,completed_without_exception,optimal,,0.05772350500046741,optimal,,,,,,0.19999999702148194,0.5535986160842153,CLARABEL,OSQP
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,Fair-transport,,0.3,0.4535809018567639,0.21506841537500707,True,completed_without_exception,optimal,,0.05132360199058894,optimal,,,,,,0.20969025147649853,0.5535949764153845,CLARABEL,OSQP
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,Fair-transport,,0.4,0.4535809018567639,0.21506841537500707,True,completed_without_exception,optimal,,0.05083786400791723,optimal,,,,,,0.20969025172990308,0.5535949763951594,CLARABEL,OSQP
DRUG,4,1,10777,reglog,{},paper,Unfair,,,0.47745358090185674,0.3268892295463578,True,not_applicable,not applicable,0.0,0.0,not_applicable,,,,,,,,,
DRUG,4,1,10777,reglog,{},paper,Our Eps-Fair,0.0,,0.4562334217506631,0.037585874070289016,True,0,Optimization terminated successfully,23.0,0.026707327997428365,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,reglog,{},paper,Our Eps-Fair,0.1,,0.46949602122015915,0.16729120535967748,True,0,Optimization terminated successfully,17.0,0.021130697001353838,completed_without_exception,,,,,,,,,
DRUG,4,1,10777,reglog,{},paper,Our Eps-Fair,0.2,,0.4854111405835544,0.22863793788678816,True,0,Optimization terminated successfully,12.0,0.014215021001291461,completed_without_exception,,,,,,,,,
