Dataset,K,Model,Method,Epsilon,Alpha,AccuracyMean,AccuracyStd,UnfairnessMean,UnfairnessStd,RuntimeMean,RuntimeStd,Repetitions,OptimizerSuccessRate
DRUG,4,GBM,FairProjection,,0.75,,,,,,,30,0.0
DRUG,4,GBM,Our Eps-Fair,0.0,,0.4319186560565871,0.0264435158047043,0.08827475917409489,0.0417423561209079,0.04177288666687673,0.008773979754418005,30,1.0
DRUG,4,GBM,Our Eps-Fair,0.1,,0.45473032714412026,0.024840717645860922,0.15190484301368307,0.047158862271746524,0.039284850000209794,0.012333740576018761,30,1.0
DRUG,4,GBM,Our Eps-Fair,0.2,,0.45473032714412026,0.020376574899534948,0.2160033308730294,0.0391930663081388,0.01820647666657654,0.009166130407800016,30,1.0
DRUG,4,GBM,Our Eps-Fair,0.3,,0.453315649867374,0.02130402798722565,0.23567062207838907,0.038167883953827496,0.0022309166665460604,0.0012134262670568522,30,1.0
DRUG,4,GBM,Our Eps-Fair,0.4,,0.453315649867374,0.02130402798722565,0.23567062207838907,0.038167883953827496,0.0019797566666966302,0.0002735603566603426,30,1.0
DRUG,4,GBM,Our Eps-Fair,0.5,,0.453315649867374,0.02130402798722565,0.23567062207838907,0.038167883953827496,0.0020591333331443215,0.00036992819961580316,30,1.0
DRUG,4,GBM,Unfair,,,0.453315649867374,0.02130402798722565,0.23567062207838907,0.038167883953827496,0.0,0.0,30,1.0
DRUG,4,RF,Fair-transport,,0.0,0.4402298850574713,0.029119316031835096,0.1039771759495827,0.04156790807177456,0.1034317466665622,0.045698593684148095,30,1.0
DRUG,4,RF,Fair-transport,,0.1,0.4546419098143236,0.025722794310423742,0.1622371733000246,0.044274179833924836,0.09145903333374009,0.007336325154020526,30,1.0
DRUG,4,RF,Fair-transport,,0.2,0.4580901856763926,0.02833101234342089,0.2095289464221503,0.045509709428946395,0.08896331333356405,0.00873815737527099,30,1.0
DRUG,4,RF,Fair-transport,,0.3,0.45888594164456237,0.02719362674344642,0.2170659929218948,0.03457977533588117,0.08858365666686344,0.008865061016403065,30,1.0
DRUG,4,RF,Fair-transport,,0.4,0.45844385499557916,0.024510354201606525,0.22174435549499422,0.0406628578456542,0.08855886000007256,0.008958052170792102,30,1.0
DRUG,4,RF,FairProjection,,0.0,,,,,,,30,0.0
DRUG,4,RF,FairProjection,,0.1,,,,,,,30,0.0
DRUG,4,RF,FairProjection,,0.2,,,,,,,30,0.0
DRUG,4,RF,FairProjection,,0.5,,,,,,,30,0.0
DRUG,4,RF,FairProjection,,0.75,,,,,,,30,0.0
DRUG,4,RF,Our Eps-Fair,0.0,,0.43704686118479225,0.026153838114219227,0.09838471583489468,0.03952297266668099,0.03477180333344829,0.008437668334713544,30,1.0
DRUG,4,RF,Our Eps-Fair,0.1,,0.45570291777188326,0.027295145695204213,0.14854463559113534,0.04204525744969011,0.03162249333302801,0.007630140763039006,30,1.0
DRUG,4,RF,Our Eps-Fair,0.2,,0.45941644562334216,0.028859174328187378,0.20577887545184428,0.03568096434139381,0.011911346666480919,0.008297218427122085,30,1.0
